model,ctx_type,ctx_form,p_hard_500,p_hard_4000,p_hard_10000,mean_delta,median_delta,mean_ternary,n_prompts
GigaChat-3-Ultra,neutral,narrative,0.4885057471264368,0.48084291187739464,0.48084291187739464,0.007662835249042145,0.0,0.011494252873563218,174
GigaChat-3-Ultra,sensitive,dialogue,0.4904214559386973,0.4865900383141763,0.4846743295019157,0.005747126436781611,0.0,0.005747126436781609,174
GigaChat-3-Ultra,neutral,dialogue,0.4846743295019157,0.4865900383141763,0.48084291187739464,0.003831417624521073,0.0,0.011494252873563218,174
GigaChat-3-Ultra,sensitive,narrative,0.4827586206896552,0.47701149425287354,0.4789272030651341,0.0038314176245210717,0.0,0.022988505747126436,174
GigaChat-2,sensitive,narrative,0.4731800766283525,0.47126436781609193,0.47126436781609193,0.0019157088122605363,0.0,0.005747126436781609,174
GigaChat-2-Max,sensitive,dialogue,0.4731800766283525,0.47126436781609193,0.47126436781609193,0.0019157088122605363,0.0,0.005747126436781609,174
GigaChat-2,neutral,narrative,0.47126436781609193,0.4731800766283525,0.47126436781609193,0.0,0.0,0.0,174
GigaChat-2,neutral,dialogue,0.47126436781609193,0.47126436781609193,0.47126436781609193,0.0,0.0,0.0,174
GigaChat-2-Pro,sensitive,dialogue,0.47126436781609193,0.4731800766283525,0.47126436781609193,0.0,0.0,0.0,174
GigaChat-2-Pro,sensitive,narrative,0.47126436781609193,0.4731800766283525,0.47126436781609193,0.0,0.0,0.0,174
GigaChat-2-Max,neutral,narrative,0.4731800766283525,0.47126436781609193,0.4731800766283525,0.0,0.0,0.0,174
GigaChat-2-Max,sensitive,narrative,0.47126436781609193,0.47126436781609193,0.47126436781609193,0.0,0.0,0.0,174
GigaChat-2-Pro,neutral,narrative,0.47126436781609193,0.4731800766283525,0.47126436781609193,0.0,0.0,0.0,174
GigaChat-2-Max,neutral,dialogue,0.47126436781609193,0.47126436781609193,0.4731800766283525,-0.0019157088122605363,0.0,-0.005747126436781609,174
GigaChat-2-Pro,neutral,dialogue,0.47126436781609193,0.47126436781609193,0.4731800766283525,-0.0019157088122605363,0.0,-0.005747126436781609,174
GigaChat-2,sensitive,dialogue,0.47126436781609193,0.4731800766283525,0.47509578544061304,-0.0038314176245210726,0.0,-0.011494252873563218,174
