model,ctx_type,ctx_form,ctx_len,mean_p_hard
GigaChat-2,neutral,dialogue,500,0.47126436781609193
GigaChat-2,neutral,dialogue,4000,0.47126436781609193
GigaChat-2,neutral,dialogue,10000,0.47126436781609193
GigaChat-2,neutral,narrative,500,0.47126436781609193
GigaChat-2,neutral,narrative,4000,0.4731800766283525
GigaChat-2,neutral,narrative,10000,0.47126436781609193
GigaChat-2,sensitive,dialogue,500,0.47126436781609193
GigaChat-2,sensitive,dialogue,4000,0.4731800766283525
GigaChat-2,sensitive,dialogue,10000,0.47509578544061304
GigaChat-2,sensitive,narrative,500,0.4731800766283525
GigaChat-2,sensitive,narrative,4000,0.47126436781609193
GigaChat-2,sensitive,narrative,10000,0.47126436781609193
GigaChat-2-Max,neutral,dialogue,500,0.47126436781609193
GigaChat-2-Max,neutral,dialogue,4000,0.47126436781609193
GigaChat-2-Max,neutral,dialogue,10000,0.4731800766283525
GigaChat-2-Max,neutral,narrative,500,0.4731800766283525
GigaChat-2-Max,neutral,narrative,4000,0.47126436781609193
GigaChat-2-Max,neutral,narrative,10000,0.4731800766283525
GigaChat-2-Max,sensitive,dialogue,500,0.4731800766283525
GigaChat-2-Max,sensitive,dialogue,4000,0.47126436781609193
GigaChat-2-Max,sensitive,dialogue,10000,0.47126436781609193
GigaChat-2-Max,sensitive,narrative,500,0.47126436781609193
GigaChat-2-Max,sensitive,narrative,4000,0.47126436781609193
GigaChat-2-Max,sensitive,narrative,10000,0.47126436781609193
GigaChat-2-Pro,neutral,dialogue,500,0.47126436781609193
GigaChat-2-Pro,neutral,dialogue,4000,0.47126436781609193
GigaChat-2-Pro,neutral,dialogue,10000,0.4731800766283525
GigaChat-2-Pro,neutral,narrative,500,0.47126436781609193
GigaChat-2-Pro,neutral,narrative,4000,0.4731800766283525
GigaChat-2-Pro,neutral,narrative,10000,0.47126436781609193
GigaChat-2-Pro,sensitive,dialogue,500,0.47126436781609193
GigaChat-2-Pro,sensitive,dialogue,4000,0.4731800766283525
GigaChat-2-Pro,sensitive,dialogue,10000,0.47126436781609193
GigaChat-2-Pro,sensitive,narrative,500,0.47126436781609193
GigaChat-2-Pro,sensitive,narrative,4000,0.4731800766283525
GigaChat-2-Pro,sensitive,narrative,10000,0.47126436781609193
GigaChat-3-Ultra,neutral,dialogue,500,0.4846743295019157
GigaChat-3-Ultra,neutral,dialogue,4000,0.4865900383141763
GigaChat-3-Ultra,neutral,dialogue,10000,0.48084291187739464
GigaChat-3-Ultra,neutral,narrative,500,0.4885057471264368
GigaChat-3-Ultra,neutral,narrative,4000,0.48084291187739464
GigaChat-3-Ultra,neutral,narrative,10000,0.48084291187739464
GigaChat-3-Ultra,sensitive,dialogue,500,0.4904214559386973
GigaChat-3-Ultra,sensitive,dialogue,4000,0.4865900383141763
GigaChat-3-Ultra,sensitive,dialogue,10000,0.4846743295019157
GigaChat-3-Ultra,sensitive,narrative,500,0.4827586206896552
GigaChat-3-Ultra,sensitive,narrative,4000,0.47701149425287354
GigaChat-3-Ultra,sensitive,narrative,10000,0.4789272030651341
