model,ctx_len,mean_p_hard,mean_p_refusal,n
GigaChat-2,500,0.47174329501915707,0.5110153256704981,696
GigaChat-2,4000,0.47222222222222227,0.5095785440613028,696
GigaChat-2,10000,0.47222222222222227,0.5119731800766283,696
GigaChat-2-Max,500,0.47222222222222227,0.5057471264367817,696
GigaChat-2-Max,4000,0.47126436781609193,0.5052681992337165,696
GigaChat-2-Max,10000,0.47222222222222227,0.5067049808429119,696
GigaChat-2-Pro,500,0.47126436781609193,0.5277777777777778,696
GigaChat-2-Pro,4000,0.47270114942528735,0.5258620689655172,696
GigaChat-2-Pro,10000,0.47174329501915707,0.5272988505747126,696
GigaChat-3-Ultra,500,0.4865900383141763,0.4961685823754789,696
GigaChat-3-Ultra,4000,0.4827586206896552,0.4885057471264368,696
GigaChat-3-Ultra,10000,0.4813218390804598,0.4885057471264368,696
